scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,1;17,1;17,17,"{""17"": 64}","{""1"": 4918, ""17"": 4931}",78896,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],17>1:8,,8,25,
2026_07_15_01_26_56,000060,2,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,2;3,2,,{},"{""2"": 4863}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,6,23,
2026_07_15_01_26_56,000060,3,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,2;3,3;2,2,"{""2"": 55}","{""2"": 4863, ""3"": 4977}",77808,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],2>3:3,,10,21,
2026_07_15_01_26_56,000060,4,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;6,4,,{},"{""4"": 4886}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,9,23,
2026_07_15_01_26_56,000060,5,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,5;15,5,,{},"{""5"": 4909}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,5,15,
2026_07_15_01_26_56,000060,6,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;6,6;4,4,"{""4"": 55}","{""4"": 4853, ""6"": 4556}",77648,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],4>6:4,,12,31,
2026_07_15_01_26_56,000060,7,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,7;19,7,,{},"{""7"": 4908}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,9,14,
2026_07_15_01_26_56,000060,8,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,8;16,8,,{},"{""8"": 4838}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,3,23,
2026_07_15_01_26_56,000060,9,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,9;20,9;20,20,"{""20"": 27}","{""9"": 4858, ""20"": 3812}",60992,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],20>9:0,,15,31,
2026_07_15_01_26_56,000060,10,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,10;18,10,,{},"{""10"": 4953}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,9,30,
2026_07_15_01_26_56,000060,11,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12,11;12,12,"{""12"": 39}","{""11"": 4909, ""12"": 4306}",68896,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],12>11:7,,10,33,
2026_07_15_01_26_56,000060,12,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12,12,,{},"{""12"": 4891}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,7,21,
2026_07_15_01_26_56,000060,13,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,13;14,13,,{},"{""13"": 4793}",0,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],,,6,15,
2026_07_15_01_26_56,000060,14,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,13;14,14;13,13,"{""13"": 50}","{""13"": 4785, ""14"": 5044}",76560,99.06,10,20.0,ns3,400,0.5,10,9,20,1,1,[99.06],[727360],13>14:2,,2,5,
